tick,source,target,amount
2,0,1,1
2,0,2,1
5,0,1,1
5,0,2,1
8,0,1,1
8,0,2,1
11,0,1,1
11,0,2,1
14,0,1,1
14,0,2,1
17,0,1,1
17,0,2,1
20,0,1,1
20,0,2,1
23,0,1,1
23,0,2,1
26,0,1,1
26,0,2,1
29,0,1,1
29,0,2,1
