tick,left,centre,right,left_minus_right,total
0,0,0,0,0,0
1,0,1,0,0,1
2,0,2,0,0,2
3,1,1,1,0,3
4,1,2,1,0,4
5,1,3,1,0,5
6,1,4,1,0,6
7,2,3,2,0,7
8,3,2,3,0,8
9,3,3,3,0,9
10,3,4,3,0,10
11,3,5,3,0,11
12,4,4,4,0,12
13,4,5,4,0,13
14,4,6,4,0,14
15,4,7,4,0,15
16,5,6,5,0,16
17,6,5,6,0,17
18,6,6,6,0,18
19,6,7,6,0,19
20,6,8,6,0,20
21,7,7,7,0,21
22,7,8,7,0,22
23,7,9,7,0,23
24,7,10,7,0,24
25,7,11,7,0,25
26,8,10,8,0,26
27,9,9,9,0,27
28,9,9,10,-1,28
29,9,10,10,-1,29
30,9,11,10,-1,30
31,10,10,11,-1,31
32,10,11,11,-1,32
33,10,12,11,-1,33
34,10,13,11,-1,34
35,10,14,11,-1,35
36,11,13,12,-1,36
37,11,14,12,-1,37
38,11,15,12,-1,38
39,11,16,12,-1,39
40,12,15,13,-1,40
41,13,14,14,-1,41
42,14,13,15,-1,42
43,14,14,15,-1,43
44,14,15,15,-1,44
45,14,16,15,-1,45
46,15,15,16,-1,46
47,15,16,16,-1,47
48,15,17,16,-1,48
49,15,18,16,-1,49
50,15,19,16,-1,50
51,16,18,17,-1,51
52,16,19,17,-1,52
53,17,18,18,-1,53
54,17,19,18,-1,54
55,17,20,18,-1,55
56,17,21,18,-1,56
57,17,22,18,-1,57
58,18,21,19,-1,58
59,19,20,20,-1,59
60,20,19,21,-1,60
61,21,17,22,-1,60
62,21,17,22,-1,60
63,21,17,22,-1,60
64,21,17,22,-1,60
65,21,17,22,-1,60
66,21,17,22,-1,60
67,21,17,22,-1,60
68,21,17,22,-1,60
69,21,17,22,-1,60
70,21,17,22,-1,60
71,21,17,22,-1,60
72,21,17,22,-1,60
73,21,17,22,-1,60
74,21,17,22,-1,60
75,21,17,22,-1,60
76,21,17,22,-1,60
77,21,17,22,-1,60
78,21,17,22,-1,60
79,21,17,22,-1,60
80,21,17,22,-1,60
81,21,17,22,-1,60
82,21,17,22,-1,60
83,21,17,22,-1,60
84,21,17,22,-1,60
85,21,17,22,-1,60
86,21,17,22,-1,60
87,21,17,22,-1,60
88,21,17,22,-1,60
89,21,17,22,-1,60
90,21,17,22,-1,60
91,21,17,22,-1,60
92,21,17,22,-1,60
93,21,17,22,-1,60
94,21,17,22,-1,60
95,21,17,22,-1,60
96,21,17,22,-1,60
97,21,17,22,-1,60
98,21,17,22,-1,60
99,21,17,22,-1,60
100,21,17,22,-1,60
101,21,17,22,-1,60
102,21,17,22,-1,60
103,21,17,22,-1,60
104,21,17,22,-1,60
105,21,17,22,-1,60
106,21,17,22,-1,60
107,21,17,22,-1,60
108,21,17,22,-1,60
109,21,17,22,-1,60
110,21,17,22,-1,60
111,21,17,22,-1,60
112,21,17,22,-1,60
113,21,17,22,-1,60
114,21,17,22,-1,60
115,21,17,22,-1,60
116,21,17,22,-1,60
117,21,17,22,-1,60
118,21,17,22,-1,60
119,21,17,22,-1,60
120,21,17,22,-1,60
