tick,place,kind,value
0,0,1,4
0,0,2,0
0,1,1,4
0,1,2,0
0,2,1,4
0,2,2,0
0,3,1,4
0,3,2,0
0,4,1,4
0,4,2,0
0,5,1,4
0,5,2,0
0,6,1,4
0,6,2,0
0,7,1,4
0,7,2,0
0,8,1,4
0,8,2,0
0,9,1,4
0,9,2,0
0,10,1,3
0,10,2,0
0,11,1,3
0,11,2,0
0,12,1,3
0,12,2,0
0,13,1,3
0,13,2,0
0,14,1,3
0,14,2,0
0,15,1,3
0,15,2,0
0,16,1,3
0,16,2,0
0,17,1,4
0,17,2,0
0,18,1,4
0,18,2,0
0,19,1,3
0,19,2,0
0,20,1,2
0,20,2,0
0,21,1,2
0,21,2,0
0,22,1,2
0,22,2,0
0,23,1,2
0,23,2,0
0,24,1,2
0,24,2,0
0,25,1,3
0,25,2,0
0,26,1,4
0,26,2,0
0,27,1,4
0,27,2,0
0,28,1,3
0,28,2,0
0,29,1,2
0,29,2,0
0,30,1,1
0,30,2,0
0,31,1,1
0,31,2,0
0,32,1,1
0,32,2,0
0,33,1,2
0,33,2,0
0,34,1,3
0,34,2,0
0,35,1,4
0,35,2,0
0,36,1,4
0,36,2,0
0,37,1,3
0,37,2,0
0,38,1,2
0,38,2,0
0,39,1,1
0,39,2,0
0,40,1,0
0,40,2,0
0,41,1,1
0,41,2,0
0,42,1,2
0,42,2,0
0,43,1,3
0,43,2,0
0,44,1,4
0,44,2,0
0,45,1,4
0,45,2,0
0,46,1,3
0,46,2,0
0,47,1,2
0,47,2,0
0,48,1,1
0,48,2,0
0,49,1,1
0,49,2,0
0,50,1,1
0,50,2,0
0,51,1,2
0,51,2,0
0,52,1,3
0,52,2,0
0,53,1,4
0,53,2,0
0,54,1,4
0,54,2,0
0,55,1,3
0,55,2,0
0,56,1,2
0,56,2,0
0,57,1,2
0,57,2,0
0,58,1,2
0,58,2,0
0,59,1,2
0,59,2,0
0,60,1,2
0,60,2,0
0,61,1,3
0,61,2,0
0,62,1,4
0,62,2,0
0,63,1,4
0,63,2,0
0,64,1,3
0,64,2,0
0,65,1,3
0,65,2,0
0,66,1,3
0,66,2,0
0,67,1,3
0,67,2,0
0,68,1,3
0,68,2,0
0,69,1,3
0,69,2,0
0,70,1,3
0,70,2,0
0,71,1,4
0,71,2,0
0,72,1,4
0,72,2,0
0,73,1,4
0,73,2,0
0,74,1,4
0,74,2,0
0,75,1,4
0,75,2,0
0,76,1,4
0,76,2,0
0,77,1,4
0,77,2,0
0,78,1,4
0,78,2,0
0,79,1,4
0,79,2,0
0,80,1,4
0,80,2,0
1,0,1,4
1,0,2,1
1,1,1,4
1,1,2,1
1,2,1,4
1,2,2,1
1,3,1,4
1,3,2,1
1,4,1,4
1,4,2,1
1,5,1,4
1,5,2,1
1,6,1,4
1,6,2,1
1,7,1,4
1,7,2,1
1,8,1,4
1,8,2,1
1,9,1,4
1,9,2,1
1,10,1,3
1,10,2,1
1,11,1,3
1,11,2,1
1,12,1,3
1,12,2,1
1,13,1,3
1,13,2,1
1,14,1,3
1,14,2,1
1,15,1,3
1,15,2,1
1,16,1,3
