tick,place,base,rock,sediment,water,solidsurface,potential,localmatter,complete_signature
13,2,0,12,0,7,12,19,12,0,8,1,21,0,12,1,17,0,12,0,7,0,12,2,3,
13,3,0,12,2,3,14,17,14,0,8,1,21,0,12,1,17,0,12,0,7,0,12,2,3,
14,0,0,8,1,21,9,30,9,0,8,1,21,0,12,0,14,0,12,1,10,0,12,2,3,
14,1,0,12,0,14,12,26,12,0,8,1,21,0,12,0,14,0,12,1,10,0,12,2,3,
14,2,0,12,1,10,13,23,13,0,8,1,21,0,12,0,14,0,12,1,10,0,12,2,3,
14,3,0,12,2,3,14,17,14,0,8,1,21,0,12,0,14,0,12,1,10,0,12,2,3,
15,0,0,8,0,19,8,27,8,0,8,0,19,0,12,1,15,0,12,0,9,0,12,3,5,
15,1,0,12,1,15,13,28,13,0,8,0,19,0,12,1,15,0,12,0,9,0,12,3,5,
15,2,0,12,0,9,12,21,12,0,8,0,19,0,12,1,15,0,12,0,9,0,12,3,5,
15,3,0,12,3,5,15,20,15,0,8,0,19,0,12,1,15,0,12,0,9,0,12,3,5,
16,0,0,8,0,19,8,27,8,0,8,0,19,0,12,0,13,0,12,1,11,0,12,3,5,
16,1,0,12,0,13,12,25,12,0,8,0,19,0,12,0,13,0,12,1,11,0,12,3,5,
16,2,0,12,1,11,13,24,13,0,8,0,19,0,12,0,13,0,12,1,11,0,12,3,5,
16,3,0,12,3,5,15,20,15,0,8,0,19,0,12,0,13,0,12,1,11,0,12,3,5,
17,0,0,8,0,18,8,26,8,0,8,0,18,0,12,0,14,0,12,0,10,0,12,4,6,
17,1,0,12,0,14,12,26,12,0,8,0,18,0,12,0,14,0,12,0,10,0,12,4,6,
17,2,0,12,0,10,12,22,12,0,8,0,18,0,12,0,14,0,12,0,10,0,12,4,6,
17,3,0,12,4,6,16,22,16,0,8,0,18,0,12,0,14,0,12,0,10,0,12,4,6,
18,0,0,8,0,18,8,26,8,0,8,0,18,0,12,0,13,0,12,0,11,0,12,4,6,
18,1,0,12,0,13,12,25,12,0,8,0,18,0,12,0,13,0,12,0,11,0,12,4,6,
18,2,0,12,0,11,12,23,12,0,8,0,18,0,12,0,13,0,12,0,11,0,12,4,6,
18,3,0,12,4,6,16,22,16,0,8,0,18,0,12,0,13,0,12,0,11,0,12,4,6,
19,0,0,8,0,18,8,26,8,0,8,0,18,0,12,0,13,0,12,0,11,0,12,4,6,
19,1,0,12,0,13,12,25,12,0,8,0,18,0,12,0,13,0,12,0,11,0,12,4,6,
19,2,0,12,0,11,12,23,12,0,8,0,18,0,12,0,13,0,12,0,11,0,12,4,6,
19,3,0,12,4,6,16,22,16,0,8,0,18,0,12,0,13,0,12,0,11,0,12,4,6,
20,0,0,8,0,18,8,26,8,0,8,0,18,0,12,0,13,0,12,0,11,0,12,4,6,
20,1,0,12,0,13,12,25,12,0,8,0,18,0,12,0,13,0,12,0,11,0,12,4,6,
20,2,0,12,0,11,12,23,12,0,8,0,18,0,12,0,13,0,12,0,11,0,12,4,6,
