tick,kind(1),kind(2)
0,381,0
1,381,135
2,381,270
3,381,405
4,381,540
5,381,675
6,381,810
7,381,945
8,381,1080
9,381,1215
10,381,1350
11,381,1485
12,381,1620
13,381,1755
14,381,1890
15,381,2025
16,381,2160
17,381,2295
18,381,2430
19,381,2565
20,381,2700
21,381,2700
22,381,2700
23,381,2700
24,381,2700
25,381,2700
26,381,2700
27,381,2700
28,381,2700
29,381,2700
30,381,2700
31,381,2700
32,381,2700
33,381,2700
34,381,2700
35,381,2700
36,381,2700
37,381,2700
38,381,2700
39,381,2700
40,381,2700
41,381,2700
42,381,2700
43,381,2700
44,381,2700
45,381,2700
46,381,2700
47,381,2700
48,381,2700
49,381,2700
50,381,2700
51,381,2700
52,381,2700
53,381,2700
54,381,2700
55,381,2700
56,381,2700
57,381,2700
58,381,2700
59,381,2700
60,381,2700
61,381,2700
62,381,2700
63,381,2700
64,381,2700
65,381,2700
66,381,2700
67,381,2700
68,381,2700
69,381,2700
70,381,2700
71,381,2700
72,381,2700
73,381,2700
74,381,2700
75,381,2700
76,381,2700
77,381,2700
78,381,2700
79,381,2700
80,381,2700
81,381,2700
82,381,2700
83,381,2700
84,381,2700
85,381,2700
86,381,2700
87,381,2700
88,381,2700
89,381,2700
90,381,2700
91,381,2700
92,381,2700
93,381,2700
94,381,2700
95,381,2700
96,381,2700
97,381,2700
98,381,2700
99,381,2700
100,381,2700
101,381,2700
102,381,2700
103,381,2700
104,381,2700
105,381,2700
106,381,2700
107,381,2700
108,381,2700
109,381,2700
110,381,2700
111,381,2700
112,381,2700
113,381,2700
114,381,2700
115,381,2700
116,381,2700
117,381,2700
118,381,2700
119,381,2700
120,381,2700
121,381,2700
122,381,2700
123,381,2700
124,381,2700
125,381,2700
126,381,2700
127,381,2700
128,381,2700
129,381,2700
130,381,2700
131,381,2700
132,381,2700
133,381,2700
134,381,2700
135,381,2700
136,381,2700
137,381,2700
138,381,2700
139,381,2700
140,381,2700
141,381,2700
142,381,2700
143,381,2700
144,381,2700
145,381,2700
146,381,2700
147,381,2700
148,381,2700
149,381,2700
150,381,2700
151,381,2700
152,381,2700
153,381,2700
154,381,2700
155,381,2700
156,381,2700
157,381,2700
158,381,2700
159,381,2700
160,381,2700
161,381,2700
162,381,2700
163,381,2700
164,381,2700
165,381,2700
166,381,2700
167,381,2700
168,381,2700
169,381,2700
170,381,2700
171,381,2700
172,381,2700
173,381,2700
174,381,2700
175,381,2700
176,381,2700
177,381,2700
178,381,2700
179,381,2700
180,381,2700
181,381,2700
182,381,2700
183,381,2700
184,381,2700
185,381,2700
186,381,2700
187,381,2700
188,381,2700
189,381,2700
190,381,2700
191,381,2700
192,381,2700
193,381,2700
194,381,2700
195,381,2700
196,381,2700
197,381,2700
198,381,2700
199,381,2700
200,381,2700
201,381,2700
202,381,2700
203,381,2700
204,381,2700
205,381,2700
206,381,2700
207,381,2700
208,381,2700
209,381,2700
210,381,2700
211,381,2700
212,381,2700
213,381,2700
214,381,2700
215,381,2700
216,381,2700
217,381,2700
218,381,2700
219,381,2700
220,381,2700
221,381,2700
222,381,2700
223,381,2700
224,381,2700
225,381,2700
226,381,2700
227,381,2700
228,381,2700
229,381,2700
230,381,2700
231,381,2700
232,381,2700
233,381,2700
234,381,2700
235,381,2700
236,381,2700
237,381,2700
238,381,2700
239,381,2700
240,381,2700
241,381,2700
242,381,2700
243,381,2700
244,381,2700
245,381,2700
246,381,2700
247,381,2700
248,381,2700
249,381,2700
250,381,2700
251,381,2700
252,381,2700
253,381,2700
254,381,2700
255,381,2700
256,381,2700
257,381,2700
258,381,2700
259,381,2700
260,381,2700
261,381,2700
262,381,2700
263,381,2700
264,381,2700
265,381,2700
266,381,2700
267,381,2700
268,381,2700
269,381,2700
270,381,2700
271,381,2700
272,381,2700
273,381,2700
274,381,2700
275,381,2700
276,381,2700
277,381,2700
278,381,2700
279,381,2700
280,381,2700
281,381,2700
282,381,2700
283,381,2700
284,381,2700
285,381,2700
286,381,2700
287,381,2700
288,381,2700
289,381,2700
290,381,2700
291,381,2700
292,381,2700
293,381,2700
294,381,2700
295,381,2700
296,381,2700
297,381,2700
298,381,2700
299,381,2700
300,381,2700
