tick,source,target,amount
2,0,1,1
2,0,2,1
5,0,1,1
5,0,2,1
6,1,3,1
6,2,3,1
7,0,1,1
7,0,2,1
7,3,4,1
10,0,1,1
10,0,2,1
11,1,3,1
11,2,3,1
12,0,1,1
12,0,2,1
12,3,4,1
13,4,5,1
15,0,1,1
15,0,2,1
16,1,3,1
16,2,3,1
17,0,1,1
17,0,2,1
17,3,4,1
20,0,1,1
20,0,2,1
21,1,3,1
21,2,3,1
22,0,1,1
22,0,2,1
22,3,4,1
23,4,5,1
24,3,4,1
25,0,1,1
25,0,2,1
25,1,3,1
25,2,3,1
26,3,4,1
27,0,1,1
27,0,2,1
27,4,5,1
28,1,3,1
28,2,3,1
29,0,1,1
29,0,2,1
29,3,4,1
