tick,source,target,amount
2,0,1,1
4,0,1,1
5,1,2,1
6,0,1,1
7,0,1,1
8,1,2,1
9,0,1,1
9,2,3,1
10,0,1,1
10,1,2,1
11,0,1,1
12,1,2,1
13,0,1,1
13,2,3,1
14,0,1,1
14,1,2,1
14,3,4,1
15,0,1,1
15,2,3,1
16,1,2,1
17,0,1,1
18,0,1,1
18,1,2,1
19,0,1,1
19,2,3,1
20,1,2,1
20,3,4,1
21,0,1,1
21,2,3,1
22,0,1,1
22,1,2,1
23,0,1,1
23,1,2,1
24,0,1,1
24,2,3,1
25,1,2,1
25,3,4,1
26,0,1,1
26,2,3,1
27,0,1,1
27,1,2,1
28,0,1,1
28,1,2,1
29,0,1,1
29,2,3,1
